timestamp,accel.x,accel.y,accel.z,accel.mag,accel.diff,comp.x,comp.y,comp.z,comp.dx,comp.dy,comp.dz,comp.heading
1726757578102.48852539062,0.09118652343,-0.03466796875,-1.04150390625,1.04606273083,0.03820800781,0,0,0,0,0,0,NaN
1726757578122.30541992187,0.05139160156,-0.05114746093,-1.04333496093,1.04585132795,0.04309082031,18,650,437,0,0,0,NaN
1726757578142.42749023437,0.05139160156,-0.05114746093,-1.04333496093,1.04585132795,0.04309082031,18,650,437,0,0,0,NaN
1726757578162.42749023437,0.05139160156,-0.05114746093,-1.04333496093,1.04585132795,0.04309082031,18,650,437,0,0,0,NaN
1726757578182.42749023437,0.05139160156,-0.05114746093,-1.04333496093,1.04585132795,0.04309082031,18,650,437,0,0,0,NaN
1726757578202.30541992187,0.02038574218,-0.10876464843,-1.02856445312,1.03449995720,0.06701660156,12,672,439,-3,11,1,NaN
1726757578222.42724609375,0.02038574218,-0.10876464843,-1.02856445312,1.03449995720,0.06701660156,12,672,439,-3,11,1,NaN
1726757578242.42749023437,0.02038574218,-0.10876464843,-1.02856445312,1.03449995720,0.06701660156,12,672,439,-3,11,1,NaN
1726757578262.42749023437,0.02038574218,-0.10876464843,-1.02856445312,1.03449995720,0.06701660156,12,672,439,-3,11,1,NaN
1726757578282.30517578125,0.02160644531,-0.07946777343,-1.03723144531,1.04049557261,0.03051757812,24,664,452,6,3,8,NaN
1726757578302.42749023437,0.02160644531,-0.07946777343,-1.03723144531,1.04049557261,0.03051757812,24,664,452,6,3,8,NaN
1726757578322.42749023437,0.02160644531,-0.07946777343,-1.03723144531,1.04049557261,0.03051757812,24,664,452,6,3,8,NaN
1726757578342.42749023437,0.02160644531,-0.07946777343,-1.03723144531,1.04049557261,0.03051757812,24,664,452,6,3,8,NaN
1726757578362.30541992187,0.0283203125,-0.0458984375,-1.02966308593,1.03107457402,0.03503417968,30,668,433,9,7,-9,NaN
1726757578382.42749023437,0.0283203125,-0.0458984375,-1.02966308593,1.03107457402,0.03503417968,30,668,433,9,7,-9,NaN
1726757578402.42749023437,0.0283203125,-0.0458984375,-1.02966308593,1.03107457402,0.03503417968,30,668,433,9,7,-9,NaN
1726757578422.42749023437,0.0283203125,-0.0458984375,-1.02966308593,1.03107457402,0.03503417968,30,668,433,9,7,-9,NaN
1726757578442.48852539062,0.03662109375,-0.03234863281,-1.03051757812,1.03167534494,0.01586914062,20,666,429,-1,5,-11,NaN
1726757578462.42749023437,0.03662109375,-0.03234863281,-1.03051757812,1.03167534494,0.01586914062,20,666,429,-1,5,-11,NaN
1726757578482.42749023437,0.03662109375,-0.03234863281,-1.03051757812,1.03167534494,0.01586914062,20,666,429,-1,5,-11,NaN
1726757578502.42749023437,0.03662109375,-0.03234863281,-1.03051757812,1.03167534494,0.01586914062,20,666,429,-1,5,-11,NaN
1726757578522.30517578125,0.02807617187,-0.02917480468,-1.03820800781,1.03899726089,0.01184082031,24,661,444,3,0,4,NaN
1726757578542.42749023437,0.02807617187,-0.02917480468,-1.03820800781,1.03899726089,0.01184082031,24,661,444,3,0,4,NaN
1726757578562.42749023437,0.02807617187,-0.02917480468,-1.03820800781,1.03899726089,0.01184082031,24,661,444,3,0,4,NaN
1726757578582.42749023437,0.02807617187,-0.02917480468,-1.03820800781,1.03899726089,0.01184082031,24,661,444,3,0,4,NaN
1726757578602.30541992187,0.00952148437,-0.01623535156,-1.03759765625,1.03776834677,0.02258300781,25,664,440,4,3,0,NaN
1726757578622.42749023437,0.00952148437,-0.01623535156,-1.03759765625,1.03776834677,0.02258300781,25,664,440,4,3,0,NaN
1726757578642.42749023437,0.00952148437,-0.01623535156,-1.03759765625,1.03776834677,0.02258300781,25,664,440,4,3,0,NaN
1726757578662.42749023437,0.00952148437,-0.01623535156,-1.03759765625,1.03776834677,0.02258300781,25,664,440,4,3,0,NaN
1726757578682.30541992187,-0.01477050781,-0.01330566406,-1.03735351562,1.03754398700,0.0244140625,14,677,444,-7,14,4,NaN
1726757578702.42749023437,-0.01477050781,-0.01330566406,-1.03735351562,1.03754398700,0.0244140625,14,677,444,-7,14,4,NaN
1726757578722.42724609375,-0.01477050781,-0.01330566406,-1.03735351562,1.03754398700,0.0244140625,14,677,444,-7,14,4,NaN
1726757578742.42749023437,-0.01477050781,-0.01330566406,-1.03735351562,1.03754398700,0.0244140625,14,677,444,-7,14,4,NaN
1726757578762.30517578125,0.01867675781,-0.07763671875,-1.06115722656,1.06415738538,0.07629394531,22,679,443,1,15,3,NaN
1726757578782.42749023437,0.01867675781,-0.07763671875,-1.06115722656,1.06415738538,0.07629394531,22,679,443,1,15,3,NaN
1726757578802.42749023437,0.01867675781,-0.07763671875,-1.06115722656,1.06415738538,0.07629394531,22,679,443,1,15,3,NaN
